card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC 289: Nunes vs. Aldana,Diana Belbita,0.5,208.0,2.0,1.0,Maria Oliveira,0.38,168.0,5.0,2.0,"Vancouver, British Columbia, Canada",3.0,3.0,Women's Strawweight,1.0,U-DEC,2023.0,6.55,6.45,170.18,68.0,Orthodox,0.41,0.51,0.0,0.62,0.86,0.64,125,1996,15,10,0,0,5.76,5.03,167.64000000000001,69.0,Orthodox,0.38,0.44,0.0,0.44,0.95,0.47,115.0,1996.0,13.0,7.0,0.0,0.0,27.0,27.0
UFC Fight Night: Holloway vs. Allen,Denise Gomes,0.68,22.0,1.0,0.0,Bruna Brasil,0.58,93.0,3.0,3.0,"Kansas City, Missouri, USA",3.0,2.0,Women's Strawweight,1.0,KO/TKO,2023.0,3.04,4.59,157.48000000000002,63.0,Orthodox,0.5,0.51,0.8,0.36,1.19,0.67,115,1999,11,3,0,0,4.14,2.77,167.64000000000001,65.0,Orthodox,0.59,0.48,0.0,0.66,1.55,0.54,115.0,1993.0,10.0,5.0,1.0,0.0,24.0,30.0
UFC Fight Night: Holloway vs. Allen,Daniel Zellhuber,0.56,91.0,3.0,0.0,Lando Vannata,0.37,207.0,1.0,0.0,"Kansas City, Missouri, USA",3.0,3.0,Lightweight,1.0,U-DEC,2023.0,5.91,5.83,185.42,77.0,Switch,0.39,0.56,0.1,0.25,0.15,0.94,155,1999,15,3,0,0,4.76,4.52,175.26,71.0,Orthodox,0.45,0.55,0.3,0.37,1.09,0.69,155.0,1992.0,12.0,7.0,2.0,0.0,24.0,31.0
UFC Fight Night: Holloway vs. Allen,Ion Cutelaba,0.31,16.0,0.0,0.0,Tanner Boser,0.75,40.0,1.0,1.0,"Kansas City, Missouri, USA",3.0,1.0,Light Heavyweight,1.0,KO/TKO,2023.0,3.34,4.26,185.42,75.0,Southpaw,0.43,0.47,0.1,0.49,3.77,0.75,205,1993,19,11,1,1,2.75,4.7,187.96,75.0,Orthodox,0.52,0.58,0.0,0.0,0.0,0.63,205.0,1991.0,21.0,10.0,1.0,0.0,30.0,32.0
UFC Fight Night: Holloway vs. Allen,Dustin Jacoby,0.48,131.0,6.0,1.0,Azamat Murzakanov,0.52,127.0,5.0,1.0,"Kansas City, Missouri, USA",3.0,3.0,Light Heavyweight,0.0,U-DEC,2023.0,4.02,5.37,190.5,76.0,Orthodox,0.47,0.57,0.0,0.25,0.33,0.62,205,1988,21,9,1,0,2.86,4.93,177.8,71.0,Southpaw,0.57,0.61,0.0,0.15,0.58,0.83,205.0,1989.0,15.0,0.0,0.0,0.0,35.0,34.0
UFC Fight Night: Holloway vs. Allen,Billy Quarantillo,0.63,33.0,0.0,0.0,Edson Barboza,0.45,42.0,2.0,0.0,"Kansas City, Missouri, USA",3.0,1.0,Featherweight,0.0,KO/TKO,2023.0,5.83,7.44,177.8,70.0,Orthodox,0.54,0.42,1.0,0.24,1.47,0.61,145,1988,18,7,0,0,4.65,4.11,180.34,75.0,Orthodox,0.44,0.56,0.1,0.5,0.45,0.72,155.0,1986.0,24.0,12.0,0.0,0.0,35.0,37.0
UFC Fight Night: Holloway vs. Allen,Arnold Allen,0.56,262.0,0.0,0.0,Max Holloway,0.33,225.0,0.0,0.0,"Kansas City, Missouri, USA",5.0,5.0,Featherweight,0.0,U-DEC,2023.0,2.88,3.45,172.72,70.0,Southpaw,0.41,0.61,0.3,0.47,0.93,0.75,145,1994,20,3,0,0,4.74,7.2,180.34,69.0,Orthodox,0.48,0.59,0.3,0.53,0.24,0.83,145.0,1991.0,27.0,8.0,0.0,0.0,29.0,32.0
UFC 291: Poirier vs. Gaethje 2,Matthew Semelsberger,0.43,120.0,2.0,0.0,Uros Medic,0.53,128.0,1.0,1.0,"Salt Lake City, Utah, USA",3.0,3.0,Welterweight,0.0,KO/TKO,2023.0,4.24,3.77,185.42,75.0,Switch,0.42,0.54,0.4,0.57,1.01,0.45,170,1992,11,8,0,0,3.46,5.49,185.42,71.0,Southpaw,0.6,0.56,0.0,0.5,0.37,0.55,170.0,1993.0,10.0,3.0,0.0,0.0,31.0,30.0
UFC 291: Poirier vs. Gaethje 2,Jake Matthews,0.59,101.0,1.0,0.0,Darrius Flowers,0.56,64.0,3.0,1.0,"Salt Lake City, Utah, USA",3.0,2.0,Welterweight,1.0,SUB,2023.0,2.63,3.44,180.34,73.0,Orthodox,0.43,0.6,0.6,0.42,1.51,0.67,170,1994,22,7,0,0,5.49,3.07,175.26,71.0,Orthodox,0.49,0.44,0.0,0.28,0.98,0.63,155.0,1994.0,12.0,8.0,1.0,0.0,29.0,29.0
UFC 291: Poirier vs. Gaethje 2,Roman Kopylov,0.76,42.0,0.0,0.0,Claudio Ribeiro,0.54,59.0,1.0,0.0,"Salt Lake City, Utah, USA",3.0,2.0,Middleweight,1.0,KO/TKO,2023.0,5.08,4.74,182.88,75.0,Southpaw,0.5,0.53,0.0,0.42,1.02,0.87,185,1991,14,4,0,0,4.9,3.59,185.42,77.0,Orthodox,0.51,0.3,0.0,0.5,0.56,0.66,185.0,1992.0,11.0,5.0,0.0,0.0,32.0,31.0
UFC 291: Poirier vs. Gaethje 2,CJ Vergara,0.6,181.0,0.0,0.0,Vinicius Salvador,0.45,195.0,2.0,0.0,"Salt Lake City, Utah, USA",3.0,3.0,Flyweight,1.0,U-DEC,2023.0,4.69,5.02,167.64000000000001,68.0,Orthodox,0.56,0.53,0.2,0.0,0.0,0.6,125,1991,12,7,1,0,6.5,5.48,170.18,70.0,Southpaw,0.43,0.48,0.0,0.11,0.36,0.86,135.0,1996.0,14.0,7.0,0.0,0.0,32.0,27.0
UFC 289: Nunes vs. Aldana,Blake Bilder,0.46,126.0,1.0,0.0,Kyle Nelson,0.37,120.0,3.0,0.0,"Vancouver, British Columbia, Canada",3.0,3.0,Featherweight,0.0,U-DEC,2023.0,4.15,3.81,172.72,68.0,Switch,0.48,0.53,0.6,0.07,0.31,0.71,145,1990,8,2,1,0,4.72,3.51,180.34,71.0,Switch,0.45,0.51,0.6,0.2,1.06,0.73,145.0,1991.0,16.0,6.0,1.0,0.0,33.0,32.0
UFC 291: Poirier vs. Gaethje 2,Trevin Giles,0.27,11.0,1.0,1.0,Gabriel Bonfim,0.2,5.0,0.0,0.0,"Salt Lake City, Utah, USA",3.0,1.0,Welterweight,0.0,SUB,2023.0,2.39,3.17,182.88,74.0,Orthodox,0.54,0.58,0.3,0.5,1.07,0.72,170,1992,16,7,0,0,3.53,4.54,185.42,72.0,Orthodox,0.45,0.63,1.6,0.55,4.03,0.76,170.0,1997.0,18.0,1.0,0.0,0.0,31.0,26.0
UFC 289: Nunes vs. Aldana,Aiemann Zahabi,0.62,8.0,0.0,0.0,Aoriqileng,1.0,5.0,0.0,0.0,"Vancouver, British Columbia, Canada",3.0,1.0,Bantamweight,1.0,KO/TKO,2023.0,4.13,4.42,172.72,68.0,Orthodox,0.46,0.69,0.0,0.14,0.14,0.83,135,1987,13,2,0,0,5.46,4.65,170.18,69.0,Orthodox,0.49,0.48,0.0,0.46,1.2,0.58,135.0,1993.0,25.0,12.0,0.0,1.0,36.0,30.0
UFC 289: Nunes vs. Aldana,Miranda Maverick,0.49,127.0,3.0,0.0,Jasmine Jasudavicius,0.42,158.0,1.0,1.0,"Vancouver, British Columbia, Canada",3.0,3.0,Women's Flyweight,0.0,U-DEC,2023.0,2.25,3.22,160.02,65.0,Southpaw,0.44,0.61,0.4,0.4,2.16,0.45,125,1997,17,6,0,0,3.63,3.71,170.18,68.0,Orthodox,0.45,0.51,0.6,0.44,2.61,0.75,125.0,1989.0,14.0,3.0,0.0,0.0,26.0,34.0
UFC 289: Nunes vs. Aldana,Eryk Anders,0.49,192.0,0.0,0.0,Marc-Andre Barriault,0.49,169.0,11.0,1.0,"Vancouver, British Columbia, Canada",3.0,3.0,Middleweight,0.0,U-DEC,2023.0,4.05,3.54,185.42,75.0,Southpaw,0.48,0.5,0.1,0.24,1.71,0.8,185,1987,17,8,0,1,5.57,6.02,185.42,74.0,Orthodox,0.47,0.52,0.1,0.25,0.21,0.67,185.0,1990.0,17.0,10.0,0.0,1.0,36.0,33.0
UFC 289: Nunes vs. Aldana,Chris Curtis,0.67,84.0,4.0,3.0,Nassourdine Imavov,0.42,61.0,0.0,0.0,"Vancouver, British Columbia, Canada",3.0,2.0,Middleweight,0.0,CNC,2023.0,6.19,5.98,177.8,75.0,Orthodox,0.5,0.54,0.0,0.0,0.0,0.82,170,1987,32,12,0,1,3.26,4.45,190.5,75.0,Orthodox,0.55,0.58,1.1,0.32,0.85,0.78,185.0,1995.0,16.0,4.0,0.0,1.0,36.0,28.0
UFC 289: Nunes vs. Aldana,Nate Landwehr,0.47,184.0,0.0,0.0,Dan Ige,0.37,195.0,4.0,0.0,"Vancouver, British Columbia, Canada",3.0,3.0,Featherweight,0.0,U-DEC,2023.0,5.83,5.63,175.26,72.0,Orthodox,0.45,0.52,0.8,0.41,0.76,0.71,145,1988,18,7,0,0,3.56,3.64,170.18,71.0,Orthodox,0.45,0.56,0.2,0.25,0.89,0.56,145.0,1991.0,19.0,10.0,0.0,0.0,35.0,32.0
UFC 289: Nunes vs. Aldana,Adam Fugitt,0.46,41.0,2.0,2.0,Mike Malott,0.32,28.0,0.0,0.0,"Vancouver, British Columbia, Canada",3.0,2.0,Welterweight,0.0,SUB,2023.0,4.54,4.59,185.42,77.0,Southpaw,0.46,0.51,0.0,0.25,1.83,0.5,170,1989,10,5,0,0,2.96,4.09,185.42,73.0,Orthodox,0.47,0.54,0.7,0.56,2.08,0.16,170.0,1991.0,12.0,2.0,1.0,0.0,34.0,32.0
UFC 289: Nunes vs. Aldana,Amanda Nunes,0.53,267.0,13.0,6.0,Irene Aldana,0.28,143.0,0.0,0.0,"Vancouver, British Columbia, Canada",5.0,5.0,Women's Bantamweight,1.0,U-DEC,2023.0,2.62,4.55,172.72,69.0,Orthodox,0.51,0.57,0.7,0.54,2.73,0.82,135,1988,23,5,0,0,6.64,5.19,175.26,68.0,Orthodox,0.39,0.56,0.2,0.5,0.15,0.77,135.0,1988.0,15.0,8.0,0.0,0.0,35.0,35.0
UFC 289: Nunes vs. Aldana,Beneil Dariush,0.72,36.0,1.0,0.0,Charles Oliveira,0.42,28.0,0.0,0.0,"Vancouver, British Columbia, Canada",3.0,1.0,Lightweight,0.0,KO/TKO,2023.0,2.61,3.78,177.8,72.0,Southpaw,0.49,0.57,0.8,0.38,2.12,0.82,155,1989,23,6,1,0,3.26,3.41,177.8,74.0,Orthodox,0.55,0.48,2.6,0.39,2.23,0.56,155.0,1989.0,35.0,11.0,0.0,1.0,34.0,34.0
UFC - Ultimate Japan,David Abbott,0.41,31.0,4.0,3.0,Yoji Anjo,1.0,9.0,1.0,0.0,"Yokohama, Kanagawa, Japan",1.0,2.0,Heavyweight,1.0,U-DEC,1997.0,3.55,1.35,182.88,74.0,Switch,0.3,0.38,0.0,0.33,1.07,0.66,265,1965,10,15,0,0,3.13,0.0,180.34,73.0,Orthodox,0.0,0.25,0.0,0.0,0.0,0.0,205.0,1967.0,0.0,5.0,1.0,0.0,32.0,30.0
UFC - Ultimate Japan,Randy Couture,0.61,31.0,3.0,3.0,Maurice Smith,0.52,17.0,0.0,0.0,"Yokohama, Kanagawa, Japan",1.0,3.0,Heavyweight,1.0,M-DEC,1997.0,1.53,2.85,185.42,75.0,Orthodox,0.57,0.59,0.5,0.46,2.78,0.58,205,1963,19,11,0,0,0.47,0.41,187.96,75.0,Orthodox,0.46,0.6,0.9,0.5,0.89,0.2,221.0,1961.0,12.0,14.0,0.0,0.0,34.0,36.0
UFC 15: Collision Course,Vitor Belfort,0.79,43.0,1.0,1.0,Randy Couture,0.28,21.0,1.0,0.0,"Bay St. Louis, Mississippi, USA",1.0,1.0,Heavyweight,0.0,KO/TKO,1997.0,2.83,1.59,182.88,74.0,Southpaw,0.46,0.5,0.6,0.6,1.02,0.53,185,1977,26,14,0,1,1.53,2.85,185.42,75.0,Orthodox,0.57,0.59,0.5,0.46,2.78,0.58,205.0,1963.0,19.0,11.0,0.0,0.0,20.0,34.0
UFC 15: Collision Course,David Abbott,0.92,13.0,0.0,0.0,Maurice Smith,0.22,22.0,0.0,0.0,"Bay St. Louis, Mississippi, USA",1.0,1.0,Heavyweight,0.0,SUB,1997.0,3.55,1.35,182.88,74.0,Switch,0.3,0.38,0.0,0.33,1.07,0.66,265,1965,10,15,0,0,0.47,0.41,187.96,75.0,Orthodox,0.46,0.6,0.9,0.5,0.89,0.2,221.0,1961.0,12.0,14.0,0.0,0.0,32.0,36.0
UFC 14: Showdown,Mark Coleman,0.84,65.0,0.0,0.0,Maurice Smith,0.44,43.0,7.0,2.0,"Birmingham, Alabama, USA",1.0,3.0,Heavyweight,0.0,U-DEC,1997.0,2.62,1.88,185.42,75.0,Orthodox,0.52,0.4,0.8,0.4,3.89,0.5,205,1964,16,10,0,0,0.47,0.41,187.96,75.0,Orthodox,0.46,0.6,0.9,0.5,0.89,0.2,221.0,1961.0,12.0,14.0,0.0,0.0,33.0,36.0
UFC 13: The Ultimate Force,Guy Mezger,0.0,5.0,1.0,0.0,Tito Ortiz,0.26,19.0,1.0,1.0,"Augusta, Georgia, USA",1.0,1.0,Lightweight,1.0,SUB,1997.0,1.36,2.3,185.42,75.0,Orthodox,0.32,0.72,0.0,0.5,0.39,0.88,200,1968,30,14,2,0,2.88,2.59,190.5,74.0,Orthodox,0.46,0.6,0.6,0.35,2.47,0.54,205.0,1975.0,19.0,12.0,1.0,0.0,29.0,22.0
UFC 12: Judgement Day,Tra Telligman,0.58,29.0,0.0,0.0,Vitor Belfort,0.14,7.0,0.0,0.0,"Dothan, Alabama, USA",1.0,1.0,Heavyweight,0.0,KO/TKO,1997.0,3.02,1.83,187.96,75.0,Orthodox,0.35,0.56,0.0,1.0,0.87,0.8,233,1965,7,5,1,0,2.83,1.59,182.88,74.0,Southpaw,0.46,0.5,0.6,0.6,1.02,0.53,185.0,1977.0,26.0,14.0,0.0,1.0,32.0,20.0
UFC - Ultimate Ultimate '96,Gary Goodridge,0.53,30.0,0.0,0.0,Don Frye,0.53,26.0,1.0,1.0,"Birmingham, Alabama, USA",1.0,1.0,Open Weight,0.0,SUB,1996.0,2.14,1.84,190.5,77.0,Orthodox,0.56,0.48,0.8,1.0,0.4,0.53,249,1966,23,22,1,0,3.57,2.87,185.42,75.0,Orthodox,0.64,0.37,0.7,0.57,0.91,0.45,219.0,1965.0,20.0,9.0,1.0,1.0,30.0,31.0
UFC 10: The Tournament,Gary Goodridge,0.68,48.0,2.0,2.0,Mark Coleman,0.42,7.0,0.0,0.0,"Birmingham, Alabama, USA",1.0,1.0,Open Weight,0.0,SUB,1996.0,2.14,1.84,190.5,77.0,Orthodox,0.56,0.48,0.8,1.0,0.4,0.53,249,1966,23,22,1,0,2.62,1.88,185.42,75.0,Orthodox,0.52,0.4,0.8,0.4,3.89,0.5,205.0,1964.0,16.0,10.0,0.0,0.0,30.0,32.0
UFC 10: The Tournament,Mark Coleman,0.56,60.0,5.0,3.0,Don Frye,0.16,6.0,2.0,0.0,"Birmingham, Alabama, USA",1.0,1.0,Open Weight,1.0,KO/TKO,1996.0,2.62,1.88,185.42,75.0,Orthodox,0.52,0.4,0.8,0.4,3.89,0.5,205,1964,16,10,0,0,3.57,2.87,185.42,75.0,Orthodox,0.64,0.37,0.7,0.57,0.91,0.45,219.0,1965.0,20.0,9.0,1.0,1.0,32.0,31.0
UFC 8: David vs Goliath,Kimo Leopoldo,0.0,1.0,1.0,1.0,Ken Shamrock,0.8,5.0,0.0,0.0,"San Juan, Puerto Rico",1.0,1.0,Open Weight,0.0,SUB,1996.0,2.12,0.76,190.5,77.0,Orthodox,0.83,0.3,2.3,1.0,4.55,0.0,235,1968,10,7,1,0,4.3,1.47,185.42,72.0,Orthodox,0.46,0.39,2.5,0.6,0.94,0.44,205.0,1964.0,28.0,17.0,2.0,0.0,28.0,32.0
UFC 8: David vs Goliath,Gary Goodridge,0.57,21.0,0.0,0.0,Don Frye,0.33,6.0,3.0,1.0,"San Juan, Puerto Rico",1.0,1.0,Open Weight,0.0,KO/TKO,1996.0,2.14,1.84,190.5,77.0,Orthodox,0.56,0.48,0.8,1.0,0.4,0.53,249,1966,23,22,1,0,3.57,2.87,185.42,75.0,Orthodox,0.64,0.37,0.7,0.57,0.91,0.45,219.0,1965.0,20.0,9.0,1.0,1.0,30.0,31.0
UFC 20: Battle for the Gold,Tra Telligman,0.2,43.0,0.0,0.0,Pedro Rizzo,0.34,46.0,1.0,0.0,"Birmingham, Alabama, USA",1.0,1.0,Heavyweight,0.0,KO/TKO,1999.0,3.02,1.83,187.96,75.0,Orthodox,0.35,0.56,0.0,1.0,0.87,0.8,233,1965,7,5,1,0,3.02,1.93,185.42,75.0,Orthodox,0.34,0.5,0.0,0.28,0.26,0.78,241.0,1974.0,20.0,11.0,0.0,0.0,34.0,25.0
UFC 20: Battle for the Gold,Kevin Randleman,0.62,29.0,0.0,0.0,Bas Rutten,0.32,61.0,6.0,6.0,"Birmingham, Alabama, USA",1.0,3.0,Heavyweight,0.0,S-DEC,1999.0,1.12,1.26,177.8,72.0,Orthodox,0.54,0.57,0.8,0.56,2.0,0.3,205,1971,17,16,0,0,2.06,5.59,185.42,75.0,Orthodox,0.61,0.79,0.0,0.0,0.0,0.0,205.0,1965.0,28.0,4.0,1.0,0.0,28.0,34.0
UFC 21: Return of the Champions,Jeremy Horn,0.59,59.0,0.0,0.0,Daiju Takase,0.0,14.0,1.0,0.0,"Cedar Rapids, Iowa, USA",3.0,1.0,Middleweight,1.0,KO/TKO,1999.0,1.99,1.19,185.42,74.0,Orthodox,0.39,0.55,1.1,0.38,1.83,0.29,185,1975,91,22,5,1,1.64,0.49,182.88,74.0,Southpaw,0.3,0.47,1.2,0.17,0.84,0.21,170.0,1978.0,12.0,15.0,2.0,0.0,24.0,21.0
UFC 19: Ultimate Young Guns,Guy Mezger,0.61,42.0,5.0,2.0,Tito Ortiz,0.5,4.0,0.0,0.0,"Bay St. Louis, Mississippi, USA",1.0,1.0,Middleweight,0.0,KO/TKO,1999.0,1.36,2.3,185.42,75.0,Orthodox,0.32,0.72,0.0,0.5,0.39,0.88,200,1968,30,14,2,0,2.88,2.59,190.5,74.0,Orthodox,0.46,0.6,0.6,0.35,2.47,0.54,205.0,1975.0,19.0,12.0,1.0,0.0,31.0,24.0
UFC 18: The Road to the Heavyweight Title,Pedro Rizzo,0.55,29.0,0.0,0.0,Mark Coleman,0.47,53.0,6.0,2.0,"New Orleans, Louisiana, USA",1.0,2.0,Heavyweight,1.0,S-DEC,1999.0,3.02,1.93,185.42,75.0,Orthodox,0.34,0.5,0.0,0.28,0.26,0.78,241,1974,20,11,0,0,2.62,1.88,185.42,75.0,Orthodox,0.52,0.4,0.8,0.4,3.89,0.5,205.0,1964.0,16.0,10.0,0.0,0.0,25.0,35.0
UFC 18: The Road to the Heavyweight Title,Jorge Patino,0.38,71.0,3.0,3.0,Pat Miletich,0.21,88.0,6.0,1.0,"New Orleans, Louisiana, USA",1.0,3.0,Lightweight,0.0,U-DEC,1999.0,3.14,1.33,172.72,70.0,Orthodox,0.3,0.53,0.0,0.25,0.54,0.5,170,1973,38,19,2,2,1.66,1.79,177.8,72.0,Orthodox,0.45,0.63,1.0,1.0,1.96,0.54,170.0,1968.0,29.0,7.0,2.0,0.0,26.0,31.0
UFC 18: The Road to the Heavyweight Title,Bas Rutten,0.5,61.0,0.0,0.0,Tsuyoshi Kohsaka,0.48,47.0,9.0,3.0,"New Orleans, Louisiana, USA",1.0,2.0,Heavyweight,1.0,KO/TKO,1999.0,2.06,5.59,185.42,75.0,Orthodox,0.61,0.79,0.0,0.0,0.0,0.0,205,1965,28,4,1,0,4.41,1.88,180.34,73.0,Orthodox,0.38,0.54,0.4,0.2,1.32,0.33,225.0,1970.0,27.0,19.0,2.0,0.0,34.0,29.0
UFC 17: Redemption,Dan Henderson,0.57,54.0,1.0,1.0,Allan Goes,0.73,49.0,0.0,0.0,"Mobile, Alabama, USA",1.0,2.0,Middleweight,1.0,U-DEC,1998.0,2.7,2.44,180.34,74.0,Orthodox,0.47,0.51,0.3,0.52,1.52,0.57,185,1970,32,15,0,0,1.35,0.64,182.88,74.0,Orthodox,0.52,0.41,2.6,0.4,1.75,0.0,205.0,1971.0,10.0,5.0,2.0,0.0,28.0,27.0
UFC 17: Redemption,Dan Henderson,0.66,42.0,3.0,3.0,Carlos Newton,0.62,32.0,3.0,2.0,"Mobile, Alabama, USA",1.0,2.0,Middleweight,1.0,S-DEC,1998.0,2.7,2.44,180.34,74.0,Orthodox,0.47,0.51,0.3,0.52,1.52,0.57,185,1970,32,15,0,0,1.55,0.65,175.26,71.0,Orthodox,0.41,0.44,0.9,0.7,2.47,0.43,170.0,1976.0,16.0,14.0,0.0,0.0,28.0,22.0
UFC 17: Redemption,Pete Williams,0.52,42.0,0.0,0.0,Mark Coleman,0.53,49.0,8.0,3.0,"Mobile, Alabama, USA",1.0,2.0,Heavyweight,1.0,KO/TKO,1998.0,2.77,0.61,190.5,77.0,Orthodox,0.62,0.4,0.9,0.4,1.84,0.16,235,1975,12,6,0,0,2.62,1.88,185.42,75.0,Orthodox,0.52,0.4,0.8,0.4,3.89,0.5,205.0,1964.0,16.0,10.0,0.0,0.0,23.0,34.0
UFC 17: Redemption,Frank Shamrock,0.71,28.0,0.0,0.0,Jeremy Horn,0.56,25.0,10.0,5.0,"Mobile, Alabama, USA",1.0,2.0,Middleweight,1.0,SUB,1998.0,4.66,4.75,177.8,72.0,Orthodox,0.53,0.57,1.1,0.5,0.35,0.37,185,1972,23,10,2,0,1.99,1.19,185.42,74.0,Orthodox,0.39,0.55,1.1,0.38,1.83,0.29,185.0,1975.0,91.0,22.0,5.0,1.0,26.0,23.0
UFC 40: Vendetta,Phillip Miller,0.47,21.0,2.0,2.0,Mark Weir,0.61,31.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,2.0,Middleweight,1.0,SUB,2002.0,1.93,1.61,180.34,73.0,Orthodox,0.54,0.5,0.6,0.25,3.62,1.0,185,1979,16,0,0,0,2.5,1.54,187.96,75.0,Southpaw,0.56,0.38,2.4,0.5,0.8,0.25,185.0,1967.0,21.0,18.0,1.0,0.0,23.0,35.0
UFC 41: Onslaught,Rich Clementi,0.53,96.0,0.0,0.0,Yves Edwards,0.48,64.0,8.0,2.0,"Atlantic City, New Jersey, USA",3.0,3.0,Lightweight,0.0,SUB,2003.0,2.29,1.43,175.26,72.0,Southpaw,0.37,0.6,1.1,0.42,1.72,0.25,155,1976,45,23,1,0,2.34,2.91,175.26,73.0,Southpaw,0.42,0.66,0.7,0.53,0.76,0.69,155.0,1976.0,42.0,22.0,1.0,1.0,27.0,27.0
UFC 41: Onslaught,Pedro Rizzo,0.63,38.0,19.0,5.0,Vladimir Matyushenko,0.32,37.0,3.0,0.0,"Atlantic City, New Jersey, USA",3.0,3.0,Heavyweight,0.0,U-DEC,2003.0,3.02,1.93,185.42,75.0,Orthodox,0.34,0.5,0.0,0.28,0.26,0.78,241,1974,20,11,0,0,1.62,1.9,182.88,74.0,Orthodox,0.44,0.59,0.1,0.46,3.25,0.7,205.0,1971.0,27.0,8.0,0.0,0.0,29.0,32.0
UFC 41: Onslaught,Matt Serra,0.47,61.0,0.0,0.0,Din Thomas,0.32,81.0,28.0,1.0,"Atlantic City, New Jersey, USA",3.0,3.0,Lightweight,0.0,S-DEC,2003.0,2.64,1.98,167.64000000000001,68.0,Orthodox,0.39,0.46,0.9,0.2,2.05,0.38,170,1974,11,7,0,0,2.6,1.85,175.26,71.0,Orthodox,0.37,0.59,1.2,0.52,1.38,0.76,155.0,1976.0,26.0,9.0,0.0,1.0,29.0,27.0
UFC 41: Onslaught,Matt Lindland,0.52,76.0,13.0,4.0,Phil Baroni,0.6,73.0,2.0,1.0,"Atlantic City, New Jersey, USA",3.0,3.0,Middleweight,1.0,U-DEC,2003.0,1.56,2.62,182.88,74.0,Southpaw,0.5,0.52,1.3,0.48,3.01,0.6,185,1970,22,9,0,0,3.93,2.77,175.26,72.0,Orthodox,0.45,0.4,0.5,0.47,1.46,0.6,170.0,1976.0,15.0,18.0,0.0,0.0,33.0,27.0
UFC 41: Onslaught,BJ Penn,0.72,93.0,8.0,5.0,Caol Uno,0.65,97.0,7.0,6.0,"Atlantic City, New Jersey, USA",5.0,5.0,Lightweight,1.0,S-DEC,2003.0,3.2,2.76,175.26,70.0,Orthodox,0.48,0.56,0.5,0.55,1.19,0.74,155,1978,16,14,2,0,1.9,1.91,170.18,70.0,Southpaw,0.49,0.5,0.5,0.31,1.95,0.37,155.0,1975.0,33.0,19.0,5.0,0.0,25.0,28.0
UFC 41: Onslaught,Frank Mir,0.0,1.0,2.0,0.0,David Abbott,0.2,5.0,0.0,0.0,"Atlantic City, New Jersey, USA",3.0,1.0,Heavyweight,1.0,SUB,2003.0,3.84,2.18,190.5,79.0,Southpaw,0.47,0.38,2.0,0.4,2.02,0.54,264,1979,18,11,0,0,3.55,1.35,182.88,74.0,Switch,0.3,0.38,0.0,0.33,1.07,0.66,265.0,1965.0,10.0,15.0,0.0,0.0,24.0,38.0
UFC 42: Sudden Impact,Robbie Lawler,0.7,27.0,1.0,1.0,Pete Spratt,0.6,25.0,2.0,2.0,"Miami, Florida, USA",3.0,2.0,Welterweight,0.0,SUB,2003.0,4.67,3.85,180.34,74.0,Southpaw,0.47,0.59,0.0,0.64,0.65,0.65,170,1982,30,16,0,1,1.33,1.63,175.26,71.0,Orthodox,0.48,0.55,0.3,1.0,0.3,0.46,170.0,1971.0,25.0,23.0,0.0,0.0,21.0,32.0
UFC 42: Sudden Impact,Matt Hughes,0.5,88.0,7.0,5.0,Sean Sherk,0.48,39.0,5.0,3.0,"Miami, Florida, USA",5.0,5.0,Welterweight,1.0,U-DEC,2003.0,1.36,2.14,175.26,73.0,Switch,0.53,0.53,1.2,0.5,2.95,0.35,170,1973,45,9,0,0,2.71,2.17,167.64000000000001,67.0,Orthodox,0.35,0.55,0.4,0.46,4.09,0.56,155.0,1973.0,36.0,4.0,1.0,0.0,30.0,30.0
UFC 40: Vendetta,Tiki Ghosn,0.45,11.0,0.0,0.0,Robbie Lawler,0.5,14.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Welterweight,0.0,KO/TKO,2002.0,2.94,2.78,177.8,72.0,Orthodox,0.46,0.58,0.0,0.5,0.41,0.61,170,1977,10,7,1,0,4.67,3.85,180.34,74.0,Southpaw,0.47,0.59,0.0,0.64,0.65,0.65,170.0,1982.0,30.0,16.0,0.0,1.0,25.0,20.0
