card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC Fight Night: Barboza vs. Murphy,Oumar Sy,0.0,2.0,3.0,2.0,Tuco Tokkos,0.75,4.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Light Heavyweight,1.0,SUB,2024.0,5.39,3.37,157.48000000000002,59.0,Orthodox,0.39,0.41,0.4,0.09,0.32,0.26,125,1988,11,8,0,0,4.57,5.95,185.42,76.0,Orthodox,0.42,0.6,0.2,0.64,0.73,0.76,185.0,1991.0,29.0,7.0,0.0,0.0,36.0,33.0
UFC Fight Night: Barboza vs. Murphy,Adrian Yanez,0.64,56.0,0.0,0.0,Vinicius Salvador,0.5,34.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Bantamweight,1.0,KO/TKO,2024.0,4.51,5.27,182.88,74.0,Southpaw,0.51,0.59,0.0,0.43,1.05,0.48,185,1995,20,9,0,1,1.55,2.63,177.8,70.0,Southpaw,0.58,0.61,1.1,0.53,3.2,0.9,155.0,1991.0,27.0,1.0,0.0,0.0,29.0,33.0
UFC Fight Night: Barboza vs. Murphy,Lerone Murphy,0.32,242.0,0.0,0.0,Edson Barboza,0.6,364.0,6.0,4.0,"Las Vegas, Nevada, USA",5.0,5.0,Featherweight,1.0,U-DEC,2024.0,6.2,6.26,185.42,72.0,Orthodox,0.58,0.49,0.0,0.5,0.32,0.8,185,1991,15,4,0,0,2.29,4.58,165.1,67.0,Orthodox,0.57,0.53,0.6,0.22,0.6,0.53,135.0,1995.0,8.0,4.0,0.0,0.0,33.0,29.0
UFC Fight Night: Barboza vs. Murphy,Carlston Harris,0.6,20.0,0.0,0.0,Khaos Williams,0.46,30.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Welterweight,0.0,KO/TKO,2024.0,4.57,5.24,175.26,72.0,Southpaw,0.5,0.52,1.2,0.35,1.15,0.64,155,1989,30,10,0,1,3.68,3.21,187.96,78.0,Orthodox,0.48,0.56,0.2,0.57,2.65,1.0,185.0,1990.0,28.0,6.0,1.0,0.0,35.0,34.0
UFC 301: Pantoja vs. Erceg,Ismael Bonfim,0.51,216.0,2.0,1.0,Vinc Pichel,0.42,142.0,2.0,1.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,3.0,Lightweight,1.0,U-DEC,2024.0,5.12,2.82,165.1,66.0,Orthodox,0.32,0.57,0.0,0.43,1.74,0.75,135,1991,17,10,2,0,2.63,3.4,160.02,63.0,Orthodox,0.48,0.57,0.0,0.51,4.06,0.66,115.0,1992.0,10.0,2.0,0.0,0.0,33.0,32.0
UFC 301: Pantoja vs. Erceg,Ernesta Kareckaite,0.54,71.0,11.0,2.0,Dione Barbosa,0.33,156.0,1.0,1.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,3.0,Women's Flyweight,0.0,U-DEC,2024.0,3.95,3.04,180.34,72.0,Orthodox,0.48,0.5,0.8,0.5,1.22,0.62,185,1991,15,8,0,0,2.84,3.78,165.1,69.0,Orthodox,0.49,0.54,0.5,0.28,1.47,0.63,135.0,1996.0,9.0,2.0,2.0,0.0,33.0,28.0
UFC 301: Pantoja vs. Erceg,Myktybek Orolbai,0.52,91.0,6.0,3.0,Elves Brener,0.54,119.0,17.0,5.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,3.0,Lightweight,1.0,U-DEC,2024.0,4.74,2.87,157.48000000000002,61.0,Orthodox,0.39,0.45,0.3,0.55,1.37,0.14,115,1992,15,3,0,0,4.92,5.47,160.02,64.0,Orthodox,0.5,0.61,0.1,0.32,0.81,0.75,115.0,1985.0,18.0,14.0,0.0,0.0,32.0,39.0
UFC Fight Night: Barboza vs. Murphy,Themba Gorimbo,0.82,52.0,6.0,5.0,Ramiz Brahimaj,0.5,6.0,8.0,1.0,"Las Vegas, Nevada, USA",3.0,3.0,Welterweight,1.0,U-DEC,2024.0,4.46,2.91,167.64000000000001,68.0,Orthodox,0.53,0.49,0.7,0.0,0.0,0.35,135,1998,7,4,0,0,7.66,7.94,172.72,70.0,Orthodox,0.51,0.53,0.0,0.33,0.7,0.8,155.0,1991.0,13.0,6.0,0.0,0.0,26.0,33.0
UFC 301: Pantoja vs. Erceg,Kevin Borjas,0.53,86.0,2.0,0.0,Alessandro Costa,0.32,56.0,2.0,0.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,2.0,Flyweight,0.0,KO/TKO,2024.0,4.06,3.29,157.48000000000002,62.0,Orthodox,0.39,0.6,0.2,0.37,2.33,0.71,115,1992,11,5,0,0,4.27,2.12,193.04,76.0,Orthodox,0.4,0.46,0.5,0.47,4.21,0.33,205.0,1990.0,11.0,5.0,0.0,0.0,32.0,34.0
UFC 301: Pantoja vs. Erceg,Joaquim Silva,0.63,93.0,1.0,0.0,Drakkar Klose,0.56,123.0,7.0,0.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,3.0,Lightweight,0.0,U-DEC,2024.0,4.85,5.82,190.5,73.0,Southpaw,0.45,0.46,1.6,0.12,0.41,0.66,155,2000,9,1,0,0,6.5,5.48,170.18,70.0,Southpaw,0.43,0.48,0.0,0.11,0.36,0.86,135.0,1996.0,14.0,7.0,0.0,0.0,24.0,28.0
UFC 301: Pantoja vs. Erceg,Jamie Mullarkey,0.62,40.0,1.0,0.0,Mauricio Ruffy,0.36,38.0,0.0,0.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,1.0,Lightweight,0.0,KO/TKO,2024.0,1.81,3.68,193.04,83.0,Orthodox,0.5,0.7,0.4,0.33,2.22,1.0,205,1995,11,1,0,0,4.65,4.11,180.34,75.0,Orthodox,0.44,0.56,0.1,0.5,0.45,0.72,155.0,1986.0,24.0,12.0,0.0,0.0,29.0,38.0
UFC 301: Pantoja vs. Erceg,Iasmin Lucindo,0.37,111.0,2.0,0.0,Karolina Kowalkiewicz,0.61,136.0,6.0,2.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,3.0,Women's Strawweight,1.0,U-DEC,2024.0,5.75,6.23,170.18,70.0,Orthodox,0.41,0.54,0.0,0.0,0.0,0.81,135,1993,17,6,0,0,5.39,4.94,182.88,77.0,Orthodox,0.39,0.4,0.0,0.0,0.0,0.51,170.0,1994.0,15.0,5.0,0.0,0.0,31.0,30.0
UFC 301: Pantoja vs. Erceg,Anthony Smith,0.55,20.0,0.0,0.0,Vitor Petrino,0.45,22.0,2.0,1.0,"Rio de Janeiro, Rio de Janeiro, Brazil",3.0,1.0,Light Heavyweight,1.0,SUB,2024.0,2.48,4.53,175.26,73.0,Orthodox,0.54,0.61,0.5,0.54,1.45,0.52,145,1991,16,0,1,0,3.17,3.78,177.8,72.0,Orthodox,0.46,0.54,0.2,0.51,2.5,0.31,155.0,1982.0,14.0,5.0,0.0,0.0,33.0,42.0
